Acer saccharum
Actinidia arguta
Actinidia chinensis
Actinidia deliciosa
Actinidia kolomikta
Actinidia polygama
Akebia quinata/trifoliata
Albizia julibrissin
Alnus cordata
Alnus glutinosa
Alnus rubra
Amelanchier alnifolia
Amelanchier canadensis
Amelanchier laevis
Amelanchier lamarckii
Amelanchier ovalis (= A. vulgaris)
Amorpha fruticosa
Aralia spp.
Araucaria araucana
Arbutus unedo
Aronia spp.
Asimina triloba
Asparagus officinalis
Atriplex halimus
Berberis aggregata
Berberis koreana
Berberis vulgaris
Betula pendula
Betula pubescens
Calycanthus floridus/occidentalis
Camellia sinensis
Caragana arborescens
Carya illinoiensis
Carya laciniosa
Carya ovata
Carya tomentosa
Castanea mollissima
Castanea pumila
Castanea sativa
Ceanothus americanus
Celtis australis
Cephalotaxus ssp.
Cercis spp.
Chaenomeles japonica/speciosa
Chaenomeles x superba
Colutea arborescens
Cornus florida
Cornus kousa chinensis
Cornus mas
Corylus avellana/maxima/americana
Corylus colurna
Crataegus azarolus
Crataegus dubrovensis
Crataegus ellwangeriana
Crataegus laevigata
Crataegus monogyna
Crataegus schraderiana
Crataegus tanacetifolia
Cudrania tricuspidata
Cydonia oblonga
Cytisus scoparius
Decaisnea fargesii
Diospyros lotus
Diospyros kaki
Diospyros virginiana
Drimys lanceolata
Elaegnus multiflora
Eleagnus angustifolia
Eleagnus umbellata
Eleagnus x ebbingei
Eleutherococcus spp.
Eriobotrya japonica
Fagus sylvatica
Ficus carica
Frangula alnus
Fraxinus excelsior
Gaultheria procumbens
Gaultheria shallon
Genista pilosa/tinctoria
Gingko biloba
Gleditsia triacanthos
Glycyrrhiza glabra/echinata
Halesia carolina
Hippophae rhamnoides
Hovenia dulcis
Humulus lupulus
Juglans ailantifolia var. cordiformis
Juglans cinerea
Juglans nigra
Juglans regia
Juglans x bixbyi
Juniperus communis
Laurus nobilis
Lavandula angustifolia
Lespedeza bicolor
Lonicera caerulea var. kamtschatica
Lycium barbarum
Lycium chinense
Maackia amurensis
Magnolia spp.
Mahonia aquifolium
Malus domestica
Malus sylvestris
Mespilus germanica
Morus alba (tatarica)
Morus nigra
Morus rubra
Myrica gale
Myrtus spp.
Passiflora incarnata/caerulea
Paulownia tomentosa
Phormium tenax
Phyllostachys spp.
Pinus spp.
Poncirus trifoliata
Populus alba/nigra
Prunus armeniaca L.
Prunus avium
Prunus cerasifera
Prunus cerasus
Prunus dulcis
Prunus domestica
Prunus domestica insititia
Prunus italica
Prunus persica
Prunus persica var. nucipersica
Prunus salicina
Prunus spinosa
Prunus syriaca
Prunus tomentosa
Pterocarya fraxinifolia
Punica granatum
Pyrus communis
Pyrus pyrifolia/ussuriensis
Quercus spp.
Rhus thypina
Ribes divaricatum
Ribes nigrum
Ribes odoratum
Ribes phoenicolasius
Ribes rubrum
Ribes uva-crispa
Ribes x nidigrolaria
Robina pseudoacacia
Rosa canina
Rosa glauca
Rosa rugosa
Rosa villosa
Rosa x dumalis
Rosmarinus officinalis
Rubus fruticosus
Rubus idaeus
Rubus illecebrosus
Rubus nepalensis
Rubus occidentalis
Rubus pentalobus
Rubus phoenicolasius
Rubus tricolor
Salix spp.
Salvia officinalis
Sambucus canadensis
Sambucus nigra
Sambucus racemosa
Schisandra chinensis
Shepherdia argenteas
Sophora japonica
Sorbaronia mitschurinii
Sorbus aria/intermedia
Sorbus aucuparia (edulis)
Sorbus domestica/torminalis
Stachys affinis(Synonym: Stachys sieboldii)
Staphylea pinnata/trifolia
Syringa vulgaris
Thymus vulgaris
Tilia cordata/platyphyllos
Toona sinensis
Ugni molinae
Vaccinium angustifolium
Vaccinium corymbosum
Vaccinium oxycoccus/macrocarpon
Viburnum opulus var. americanum/trilobum
Vitex agnus-castus
Vitis vinifera
Wisteria frutescens/sinensis
Zanthoxylum americanum
Zanthoxylum piperitum
Zanthoxylum schinifolium
Zanthoxylum simulans
Ziziphus jujube
